round,client,score
0,client_0,0.0000
0,client_1,0.0000
0,client_2,0.0000
1,client_0,0.0000
1,client_1,0.0000
1,client_2,0.0000
2,client_0,3.5017
2,client_1,3.5012
2,client_2,3.5020
3,client_0,3.5014
3,client_1,3.5006
3,client_2,2.3557
4,client_0,3.5034
4,client_1,3.5021
4,client_2,3.5012
5,client_0,2.6306
5,client_1,2.6718
5,client_2,3.5016
6,client_0,3.5006
6,client_1,3.5027
6,client_2,1.9452
7,client_0,2.4243
7,client_1,2.7200
7,client_2,3.5007
8,client_0,2.3128
8,client_1,0.7800
8,client_2,0.7694
9,client_0,1.0340
9,client_1,1.6979
9,client_2,1.3710
10,client_0,0.7227
10,client_1,0.6086
10,client_2,2.2312
11,client_0,1.6037
11,client_1,2.5964
11,client_2,1.0610
12,client_0,2.2289
12,client_1,1.0353
12,client_2,1.5051
13,client_0,0.7478
13,client_1,2.1586
13,client_2,1.3730
14,client_0,0.7601
14,client_1,0.7202
14,client_2,0.9890
15,client_0,1.2222
15,client_1,2.9235
15,client_2,0.6422
16,client_0,3.1137
16,client_1,3.5054
16,client_2,1.8555
17,client_0,3.5026
17,client_1,3.5076
17,client_2,2.0250
18,client_0,3.5025
18,client_1,2.7878
18,client_2,3.5058
19,client_0,2.9599
19,client_1,3.5017
19,client_2,3.5056
